Site	Incubation	Treatment	 rate_29N	rate_30N
Vent	light	Y	0.314974424	0.681821379
Vent	light	Y	0.15980415	0.42223783
Vent	light	Y	0.106026282	0.390647895
Vent	light	Y	0.10420887	0.314197405
Vent	light	N	0.168661386	-0.313669727
Vent	light	N	0.034847769	-0.363416723
Vent	light	N	0.082025051	-0.398583837
Vent	dark	Y	0.170386511	0.063150874
Vent	dark	Y	0.103641978	0.046139559
Vent	dark	Y	0.126382367	0.043251518
Vent	dark	Y	0.162848583	-0.253545677
Vent	dark	N	0.165382278	-0.060866487
Vent	dark	N	0.118932348	-0.111421211
Vent	dark	N	0.139743339	-0.079586067
Ambient	light	Y	0.094955338	0.024327089
Ambient	light	Y	0.113068556	0.091442379
Ambient	light	Y	0.056780936	0.024147752
Ambient	light	Y	0.036850032	-0.085435243
Ambient	light	N	-0.013452453	0.016750954
Ambient	light	N	0.027047874	0.075258917
Ambient	light	N	-0.170456864	-0.095459012
Ambient	dark	Y	0.045979875	-0.050164162
Ambient	dark	Y	0.040691367	-0.044238445
Ambient	dark	Y	0.096127589	-0.011183345
Ambient	dark	Y	0.050119864	0.082855576
Ambient	dark	N	-0.187454539	-0.384415535
Ambient	dark	N	-0.005133224	0.002778971
Ambient	dark	N	-0.089699849	-0.269646676
