ID	Site	Treatment	Incubation	Timepoint	N28	N29	N30	Total_Signal	N2_in_Exet	N29_tot	N30_tot	Ex_N29_tot	Ex_N30_tot	Conc_N29	Conc_N30	Amount_N29	Amount_N30	Inc_time	N29_prod_rate	N29_prod_rate_norm	N30_prod_rate	N30_prod_rate_norm	D15	D14	Dtot	Dw	Dn
acid_start_1	Vent	Start	Start	T0	1.6172E-07	1.18496E-09	1.212E-10	1.63026E-07	253.0399067	7.27E-03	7.43E-04	1.59545E-05	4.46E-05	4.04E-03	0.011282859	9.69E-05	0.000270789	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
acid_start_2	Vent	Start	Start	T0	1.55799E-07	1.14106E-09	1.16571E-10	1.57056E-07	239.5742392	7.27E-03	7.42E-04	1.27302E-05	4.34E-05	3.05E-03	0.010391527	7.32E-05	0.000249397	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
acid_start_3	Vent	Start	Start	T0	1.63488E-07	1.19711E-09	1.22333E-10	1.64808E-07	257.0593836	7.26E-03	7.42E-04	1.11445E-05	4.34E-05	2.86E-03	0.011163185	6.88E-05	0.000267916	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
acid_T1_+_Epi_L_1	Vent	Y	light	T1	1.95738E-07	1.43211E-09	1.489E-10	1.97319E-07	330.3957241	7.27E-03	0.000705884	8.72225E-06	3.94E-05	2.88E-03	0.013027949	6.92E-05	0.000312671	2	-5.22542E-06	2.49851E-05	-0.01741808	0.083283683	0.149149286	-0.015596658	-0.015596658	0.02587138	-0.041468037
acid_T1_+_Epi_L_2	Vent	Y	light	T1	1.90983E-07	1.39729E-09	1.45299E-10	1.92525E-07	319.5830415	7.27E-03	0.000703402	9.20727E-06	3.69E-05	2.94E-03	0.011808446	7.06E-05	0.000283403	2	-4.49712E-06	1.03511E-05	-0.014990388	0.034503543	0.054016698	-0.011734031	-0.011734031	0.009369716	-0.021103747
acid_T1_+_Epi_L_3	Vent	Y	light	T1	1.89954E-07	1.38969E-09	1.4588E-10	1.91489E-07	317.2467433	7.27E-03	0.000707955	9.42037E-06	4.15E-05	2.99E-03	0.013166466	7.17E-05	0.000315995	2	-3.94395E-06	2.66473E-05	-0.013146514	0.088824356	0.164502199	-0.012173634	-0.012173634	0.02853449	-0.040708124
acid_T1_+_Epi_L_4	Vent	Y	light	T1	1.93113E-07	1.41304E-09	1.49272E-10	1.94676E-07	324.4338361	7.27E-03	0.000710345	1.12141E-05	4.39E-05	3.64E-03	0.014240216	8.73E-05	0.000341765	2	3.85187E-06	3.95323E-05	0.012839563	0.13177434	0.276388243	0.013465081	0.013465081	0.047942202	-0.034477121
acid_T1_-_Epi_L_1	Vent	N	light	T1	2.00269E-07	1.46467E-09	1.56046E-10	2.01889E-07	340.7060405	7.27E-03	0.000711371	8.30068E-06	4.43E-05	2.83E-03	0.015084659	6.79E-05	0.000362032	2	-5.86985E-06	4.96656E-05	-0.019566182	0.16555208	0.311537978	-0.018409943	-0.018409943	0.054039262	-0.072449205
acid_T1_-_Epi_L_2	Vent	N	light	T1	2.00113E-07	1.46314E-09	1.56448E-10	2.01733E-07	340.3527346	7.27E-03	0.000711401	6.98516E-06	4.43E-05	2.38E-03	0.015079203	5.71E-05	0.000361901	2	-1.12779E-05	4.96001E-05	-0.037593059	0.16533382	0.29307458	-0.033319166	-0.033319166	0.050836608	-0.084155774
acid_T1_-_Epi_L_3	Vent	N	light	T1	1.84507E-07	1.34916E-09	1.45131E-10	1.86001E-07	304.8661871	7.27E-03	0.000713582	8.2518E-06	4.65E-05	2.52E-03	0.014171992	6.04E-05	0.000340128	2	-9.61859E-06	3.87136E-05	-0.032061981	0.129045381	0.226028781	-0.028079	-0.028079	0.039206868	-0.067285868
