Date	Experiment	Site	Incubation	Treatment	Timepoint	Time	Code	Salinity	Expected.conc.Nox	Expected.conc.NH4	sample.autoanalyzer	NH4	PO4	NO2	NO3	Comments
NA	Denitrification	Ambient 	After	NA	T0	0	Start_C_After_a	37	10.52547982	3.346638469	F8	0.399	0.048	0.108	13.918	NA
NA	Denitrification	Ambient 	After	NA	T0	0	Start_C_After_b	13	10.52547982	3.346638469	F26	0.561	0.039	0.061	8.093	NA
NA	Denitrification	Ambient 	Before	NA	T0	0	Start_C_Before_a	26	10.52547982	3.346638469	F24	0.68	0.045	0.074	6.412	NA
NA	Denitrification	Ambient 	Before	NA	T0	0	Start_C_Before_b	23	10.52547982	3.346638469	F7	0.475	0.051	0.08	2.036	NA
NA	Denitrification	Ambient 	Dark	N	T1	2	C_D_1h_-Epi_1	36	10.52547982	3.346638469	F66	1.782	0.072	0.153	14.097	NA
NA	Denitrification	Ambient 	Dark	Y	T1	2	C_D_1h_+Epi_2	28	10.52547982	3.346638469	F68	3.096	0.116	0.192	8.461	NA
NA	Denitrification	Ambient 	Dark	Ctrl	T2	5	C_D_3h_2	36	10.52547982	3.346638469	F55	1.52	0.088	0.128	16.742	NA
NA	Denitrification	Ambient 	Dark	N	T2	5	C_D_3h_-Epi_1	36	10.52547982	3.346638469	F62	0.92	0.067	0.136	13.554	NA
NA	Denitrification	Ambient 	Dark	Y	T2	5	C_D_3h_+Epi_2	33	10.52547982	3.346638469	F60	3.001	0.107	0.41	15.46	NA
10.07.20	Denitrification	Ambient 	Dark 	N	T1	2	C_D_1h_-Epi_3	NA	10.52547982	3.346638469	F178	NA	0.097	0.266	9.444	NA
01.07.20	Denitrification	Ambient 	Dark 	Y	T1	2	C_D_1h_+Epi_3	NA	10.52547982	3.346638469	F68_new	2.573	0.111	0.264	11.393	NA
10.07.20	Denitrification	Ambient 	Dark 	Ctrl	T2	5	C_D_3h_1	NA	10.52547982	3.346638469	F175	NA	NA	0.13	10.024	NA
10.07.20	Denitrification	Ambient 	Dark 	N	T2	5	C_D_3h_-Epi_3	NA	10.52547982	3.346638469	F174	NA	NA	0.256	11.823	NA
01.07.20	Denitrification	Ambient 	Dark 	Y	T2	5	C_D_3h_+Epi_3	NA	10.52547982	3.346638469	F60_new	7.51	0.152	0.415	11.023	NA
10.07.20	Denitrification	Ambient 	Light	N	T1	2	C_L_1h_-Epi_1	NA	10.52547982	3.346638469	F176	NA	NA	0.151	6.482	NA
NA	Denitrification	Ambient 	Light	N	T1	2	C_L_1h_-Epi_3	31	10.52547982	3.346638469	F67	9.368	0.186	0.219	10.541	NA
07.07.20	Denitrification	Ambient 	Light	Y	T1	2	C_L_1h_+Epi_1+4	NA	10.52547982	3.346638469	F108_mix	7.1783	0.112	0.57	8.333	NA
NA	Denitrification	Ambient 	Light	Y	T1	2	C_L_1h_+Epi_3	38	10.52547982	3.346638469	F69	1.132	0.059	0.104	9.86	NA
NA	Denitrification	Ambient 	Light	Ctrl	T2	5	C_L_3h_2	38	10.52547982	3.346638469	F58	1.157	0.041	0.093	15.567	NA
10.07.20	Denitrification	Ambient 	Light	N	T2	5	C_L_3h_-Epi_1	NA	10.52547982	3.346638469	F177	NA	0.304	0.237	12.496	NA
NA	Denitrification	Ambient 	Light	N	T2	5	C_L_3h_-Epi_3	39	10.52547982	3.346638469	F63	1.795	0.06	0.098	12.782	NA
NA	Denitrification	Ambient 	Light	Y	T2	5	C_L_3h_+Epi_1	32	10.52547982	3.346638469	F59	4.352	0.083	0.121	5.909	NA
01.07.20	Denitrification	Ambient 	Light	Y	T2	5	C_L_3h_+Epi_4	NA	10.52547982	3.346638469	F59_new	5.29	0.126	0.139	7.831	NA
NA	Denitrification	Ambient 	Light/Dark 	N	T3	16	C_D_6h_-Epi_1	29	10.52547982	3.346638469	F56	4.327	0.107	0.249	8.054	NA
01.07.20	Denitrification	Ambient 	Light/Dark 	N	T3	16	C_D_6h_-Epi_3	NA	10.52547982	3.346638469	F56_new	2.776	NA	0.171	6.313	NA
