Sample	Site	Incubation	Treatment	Time	d15N-NO3-STD					
Ctrl_Start_after	vent 	light	start	0	3.7					
Ctrl_Start_after	vent 	light	start	0	7.3					
Ctrl_Start_after	vent 	dark	start	0	3.7					
Ctrl_Start_after	vent 	dark	start	0	7.3					
Ctrl_Start_after	ambient	light	start	0	3.7					
Ctrl_Start_after	ambient	light	start	0	7.3					
Ctrl_Start_after	ambient	dark	start	0	3.7					
Ctrl_Start_after	ambient	dark	start	0	7.3					
Nit_A_D_1h_C1	vent 	dark	ctrl	2	0.5					
Nit_A_D_1h_C2	vent 	dark	ctrl	2	7.9					
Nit_A_D_1h_-Epi_1	vent 	dark	N	2	-4.3					
Nit_A_D_1h_-Epi_2	vent 	dark	N	2	4.5					
Nit_A_D_1h_-Epi_3	vent 	dark	N	2	5.7					
Nit_A_D_1h_+Epi_1	vent 	dark	Y	2	NA					
Nit_A_D_1h_+Epi_2	vent 	dark	Y	2	NA					
Nit_A_D_1h_+Epi_3	vent 	dark	Y	2	NA					
Nit_A_D_1h_+Epi_4	vent 	dark	Y	2	NA					
Nit_A_D_3h_C1	vent 	dark	ctrl	5	3.6					
Nit_A_D_3h_C2	vent 	dark	ctrl	5	-14.8					
Nit_A_D_3h_-Epi_1	vent 	dark	N	5	-2.5					
Nit_A_D_3h_-Epi_2	vent 	dark	N	5	2.1					
Nit_A_D_3h_-Epi_3	vent 	dark	N	5	6.8					
Nit_A_D_3h_+Epi_1	vent 	dark	Y	5	-1.2					
Nit_A_D_3h_+Epi_2	vent 	dark	Y	5	6.7					
Nit_A_D_3h_+Epi_3	vent 	dark	Y	5	25.6					
Nit_A_D_3h_+Epi_4	vent 	dark	Y	5	33.9					
Nit_A_L_1h_C1	vent 	light	ctrl	2	NA					
Nit_A_L_1h_C2	vent 	light	ctrl	2	NA					
Nit_A_L_1h_C3	vent 	light	ctrl	2	3.4					
Nit_A_L_1h_-Epi_1	vent 	light	N	2	-25.7					
Nit_A_L_1h_-Epi_2	vent 	light	N	2	0.3					
Nit_A_L_1h_-Epi_3	vent 	light	N	2	3.6					
