Experiment	Date	Time	Duration	Site	Incubation	Treatment	Sample	Timepoint 	pH	Oxygen	Leaf.DW	Epiphyte.DW
N_fixation	19.09.19	15:15	0	Vent	Start	Start	1	T0	6.96	170	#NV	#NV
N_fixation	19.09.19	15:15	0	Ambient 	Start	Start	1	T0	8.02	207	#NV	#NV
N_fixation	19.09.19	21:10	5.92	Vent	Light	Y	1	T1 	7.94	614	0.019	0.004
N_fixation	19.09.19	21:13	5.97	Vent	Light	Y	2	T1 	#NV	630	0.025	0.012
N_fixation	19.09.19	21:16	6.02	Vent	Light	Y	3	T1 	#NV	654	0.025	0.01
N_fixation	19.09.19	21:17	6.03	Vent	Light	Y	4	T1 	6.39	761	0.017	0.006
N_fixation	19.09.19	21:22	6.12	Vent	Light	N	1	T1 	7.54	423	0.019	#NV
N_fixation	19.09.19	21:25	6.17	Vent	Light	N	2	T1 	#NV	360	0.02	#NV
N_fixation	19.09.19	21:27	6.2	Vent	Light	N	3	T1 	#NV	418	0.024	#NV
N_fixation	19.09.19	21:28	6.22	Vent	Light	C	1	T1 	#NV	722	0.019	0.003
N_fixation	19.09.19	21:29	6.23	Vent	Light	C	2	T1 	#NV	679	0.016	0.006
N_fixation	19.09.19	21:30	6.25	Vent	Light	C	3	T1 	#NV	581	#NV	#NV
N_fixation	19.09.19	21:33	6.3	Vent	Dark	Y	1	T1 	#NV	86	0.019	0.005
N_fixation	19.09.19	21:37	6.37	Vent	Dark	Y	2	T1 	#NV	95	0.032	0.005
N_fixation	19.09.19	21:40	6.42	Vent	Dark	Y	3	T1 	6.98	85	0.015	0.007
N_fixation	19.09.19	21:42	6.45	Vent	Dark	Y	4	T1 	#NV	85	0.019	0.007
N_fixation	19.09.19	21:44	6.48	Vent	Dark	N	1	T1 	#NV	106	0.028	#NV
N_fixation	19.09.19	21:46	6.52	Vent	Dark	N	2	T1 	6.96	101	0.022	#NV
N_fixation	19.09.19	21:48	6.55	Vent	Dark	N	3	T1 	#NV	113	0.015	#NV
N_fixation	19.09.19	21:51	6.6	Vent	Dark	C	1	T1 	#NV	127	0.023	0.007
N_fixation	19.09.19	21:35	6.33	Vent	Dark	C	2	T1 	6.85	68	0.02	0.016
N_fixation	19.09.19	21:50	6.58	Vent	Dark	C	3	T1 	#NV	128	0.023	0.006
N_fixation	19.09.19	20:28	5.22	Ambient 	Light	Y	1	T1	8.26	454	0.02	0.022
N_fixation	19.09.19	20:32	5.28	Ambient 	Light	Y	2	T1	#NV	480	0.025	0.027
N_fixation	19.09.19	20:35	5.33	Ambient 	Light	Y	3	T1	#NV	535	0.026	0.021
N_fixation	19.09.19	20:35	5.33	Ambient 	Light	Y	4	T1 	8.34	544	0.022	0.036
N_fixation	19.09.19	20:37	5.37	Ambient 	Light	N	1	T1 	8.07	270	0.019	#NV
N_fixation	19.09.19	20:40	5.42	Ambient 	Light	N	2	T1 	8.33	394	0.022	#NV
N_fixation	19.09.19	20:42	5.45	Ambient 	Light	N	3	T1 	#NV	324	0.028	#NV
N_fixation	19.09.19	20:44	5.48	Ambient 	Light	C	1	T1 	#NV	500	0.017	0.023
N_fixation	19.09.19	20:46	5.52	Ambient 	Light	C	2	T1 	#NV	497	0.023	0.013
N_fixation	19.09.19	20:47	5.53	Ambient 	Light	C	3	T1 	#NV	547	0.026	0.023
N_fixation	19.09.19	20:49	5.57	Ambient 	Dark	Y	1	T1 	7.93	136	0.019	0.024
N_fixation	19.09.19	20:51	5.6	Ambient 	Dark	Y	2	T1 	#NV	120	0.022	0.026
N_fixation	19.09.19	20:53	5.63	Ambient 	Dark	Y	3	T1 	#NV	144	0.025	0.027
N_fixation	19.09.19	20:55	5.67	Ambient 	Dark	Y	4	T1 	7.93	144	0.025	0.028
N_fixation	19.09.19	20:57	5.7	Ambient 	Dark	N	1	T1 	7.9	138	0.026	#NV
N_fixation	19.09.19	21:00	5.75	Ambient 	Dark	N	2	T1 	#NV	125	0.029	#NV
N_fixation	19.09.19	21:02	5.78	Ambient 	Dark	N	3	T1 	7.85	124	0.017	#NV
N_fixation	19.09.19	21:05	5.83	Ambient 	Dark	C	1	T1 	#NV	145	0.022	0.032
N_fixation	19.09.19	21:07	5.87	Ambient 	Dark	C	2	T1 	#NV	158	0.016	0.012
N_fixation	19.09.19	21:08	5.88	Ambient 	Dark	C	3	T1	#NV	167	0.018	0.016
Denitrification	13.09.19	19:25	0	Vent	Start	Start	1	T0	7.19	217.1	#NV	#NV
Denitrification	13.09.19	19:25	0	Ambient 	Start	Start	1	T0	8.08	220.5	#NV	#NV
Denitrification	13.09.19	00:22	4.95	Vent	Light	Y	1	T2 	7.86	498.2	0.02	0.005
Denitrification	13.09.19	00:27	5.03	Vent	Light	Y	2	T2 	7.99	512.8	0.023	0.003
