sample	site	incubation	treat	time	h	replicate	label	N	C	CN
Leaf	Vent	start	Y	T0	0	1	Fix_A_+Epi_T0_a	0.71796973	33.45674118	54.36561329
Leaf	Vent	start	Y	T0	0	2	Fix_A_+Epi_T0_b	1.291570294	35.25474498	31.84537148
Leaf	Vent	start	Y	T0	0	3	Fix_A_+Epi_T0_c	1.605881008	34.68864693	25.20117486
Leaf	Vent	start	Y	T0	0	4	Fix_A_+Epi_T0_d	1.575584567	36.02150967	26.67270008
Leaf	Vent	start	Y	T0	0	5	Fix_A_+Epi_T0_e	0.914070265	32.11435708	40.98891669
Leaf	Vent	start	Y	T0	0	6	Fix_A_+Epi_T0_f	0.867863974	33.2740213	44.73015669
Leaf	Vent	start	Y	T0	0	7	Fix_A_+Epi_T0_g	1.431712348	34.63222669	28.22093735
Leaf	Ambient	start	Y	T0	0	1	Fix_C_+Epi_T0_a	1.600393084	34.98495105	25.50359448
Leaf	Ambient	start	Y	T0	0	2	Fix_C_+Epi_T0_b	0.723489426	34.02068099	54.86022748
Leaf	Ambient	start	Y	T0	0	3	Fix_C_+Epi_T0_c	1.218118759	34.93167625	33.45619792
Leaf	Ambient	start	Y	T0	0	4	Fix_C_+Epi_T0_d	1.018703585	33.96269431	38.89565515
Leaf	Ambient	start	Y	T0	0	5	Fix_C_+Epi_T0_e	1.742890664	35.08361443	23.48448147
Leaf	Ambient	start	Y	T0	0	6	Fix_C_+Epi_T0_f	1.464122152	32.73224411	26.08226239
Leaf	Ambient	start	Y	T0	0	7	Fix_C_+Epi_T0_g	1.439680741	33.40857955	27.07313853
Leaf	Vent	light	Y	T1	5	1	Fix_A_L_T1_+Epi_a	1.137435599	36.12969836	37.05819896
Leaf	Vent	light	Y	T1	5	2	Fix_A_L_T1_+Epi_b	0.955211427	36.30359785	44.3401286
Leaf	Vent	light	Y	T1	5	3	Fix_A_L_T1_+Epi_c	1.185714521	37.92859069	37.31928865
Leaf	Vent	light	Y	T1	5	4	Fix_A_L_T1_+Epi_d	0.944857085	38.80537752	47.91511982
Leaf	Vent	light	N	T1	5	1	Fix_A_L_T1_-Epi_a	1.069106809	37.86875734	41.32441821
Leaf	Vent	light	N	T1	5	2	Fix_A_L_T1_-Epi_b	0.908673496	36.75708712	47.19326411
Leaf	Vent	light	N	T1	5	3	Fix_A_L_T1_-Epi_c	0.90724653	36.03017038	46.33271929
Leaf	Vent	light	Ctrl	T1	5	1	Fix_A_L_T1_C1	1.769979921	38.62079162	25.45655444
Leaf	Vent	light	Ctrl	T1	5	2	Fix_A_L_T1_C2	0.712204846	35.55364107	58.24061456
Leaf	Vent	dark	Y	T1	5	1	Fix_A_D_T1_+Epi_a	1.272788458	37.77755322	34.62775908
Leaf	Vent	dark	Y	T1	5	2	Fix_A_D_T1_+Epi_b	0.902104222	36.16112063	46.76618627
Leaf	Vent	dark	Y	T1	5	3	Fix_A_D_T1_+Epi_c	1.173008699	36.93736988	36.73766293
Leaf	Vent	dark	Y	T1	5	4	Fix_A_D_T1_+Epi_d	0.657654466	35.78885383	63.48875432
Leaf	Vent	dark	N	T1	5	1	Fix_A_D_T1_-Epi_a	1.289913683	38.20180246	34.5517457
Leaf	Vent	dark	N	T1	5	2	Fix_A_D_T1_-Epi_b	1.398912594	38.79678298	32.35578381
Leaf	Vent	dark	N	T1	5	3	Fix_A_D_T1_-Epi_c	0.582077768	35.48343558	71.11994962
Leaf	Vent	dark	Ctrl	T1	5	1	Fix_A_D_T1_C1	0.698215448	35.6064512	59.49576147
Leaf	Vent	dark	Ctrl	T1	5	2	Fix_A_D_T1_C2	0.831157562	36.27679999	50.92046956
Leaf	Vent	dark	Ctrl	T1	5	3	Fix_A_D_T1_C3	0.985291177	37.93854758	44.92239442
Leaf	Ambient	light	Y	T1	5	1	Fix_C_L_T1_+Epi_a	1.770783813	39.63234103	26.11144899
Leaf	Ambient	light	Y	T1	5	2	Fix_C_L_T1_+Epi_b	1.169051121	35.25958979	35.1876726
Leaf	Ambient	light	Y	T1	5	3	Fix_C_L_T1_+Epi_c	1.175606297	34.98730948	34.72125647
Leaf	Ambient	light	Y	T1	5	4	Fix_C_L_T1_+Epi_d	1.103015817	36.68980055	38.80702947
Leaf	Ambient	light	N	T1	5	1	Fix_C_L_T1_-Epi_a	1.348666864	36.58498606	31.64790718
Leaf	Ambient	light	N	T1	5	2	Fix_C_L_T1_-Epi_b	1.128724808	35.94245333	37.15065171
Leaf	Ambient	light	N	T1	5	3	Fix_C_L_T1_-Epi_c	1.124367709	35.29977201	36.62775712
Leaf	Ambient	light	Ctrl	T1	5	1	Fix_C_L_T1_C1	1.041540988	36.22847221	40.58078503
Leaf	Ambient	light	Ctrl	T1	5	2	Fix_C_L_T1_C2	1.341147933	39.17730568	34.08039897
Leaf	Ambient	light	Ctrl	T1	5	3	Fix_C_L_T1_C3	1.063198643	37.38257997	41.02056588
Leaf	Ambient	dark	Y	T1	5	1	Fix_C_D_T1_+Epi_a	1.225729617	36.69770706	34.92939306
Leaf	Ambient	dark	Y	T1	5	2	Fix_C_D_T1_+Epi_b	1.136749383	35.47585785	36.40952125
Leaf	Ambient	dark	Y	T1	5	3	Fix_C_D_T1_+Epi_c	0.806324292	24.64905995	35.66460404
Leaf	Ambient	dark	Y	T1	5	4	Fix_C_D_T1_+Epi_d	1.142380918	35.71608877	36.47537311
Leaf	Ambient	dark	N	T1	5	1	Fix_C_D_T1_-Epi_a	0.923073847	36.56545662	46.21482833
Leaf	Ambient	dark	N	T1	5	2	Fix_C_D_T1_-Epi_b	1.059872357	39.21276901	43.16390573
Leaf	Ambient	dark	N	T1	5	3	Fix_C_D_T1_-Epi_c	1.105315279	30.20177483	31.87814793
Leaf	Ambient	dark	Ctrl	T1	5	1	Fix_C_D_T1_C1	0.421334785	27.49312891	76.12786358
Leaf	Ambient	dark	Ctrl	T1	5	2	Fix_C_D_T1_C2	1.536321778	40.2200706	30.54270035
Leaf	Ambient	dark	Ctrl	T1	5	3	Fix_C_D_T1_C3	0.856465565	38.56647206	52.53476526
