Sample	Site	Phase	Treatment	Timepoint	Incubation	Label	delta15N	atom_perc	atom_perc_ex	timesSD	medium_atom_perc_ex	N_ug	g_DW_ind	rate_ng_h	rate_nmol_h
Epiphytes	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_a	7.298795701	0.36913697	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_b	7.305895924	0.369139562	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_c	7.916515108	0.369362505	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_d	6.844381424	0.368971059	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_f	17.32836796	0.372798727	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_g	7.340382722	0.369152154	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Vent	Light	Y	T1	5	Fix_A_L_T1_+Epi_a	8.237039465	0.36947953	0.000327081	2.350854438	17.18468838	1901.214494	0.023	0	0
Epiphytes	Vent	Light	Y	T1	5	Fix_A_L_T1_+Epi_b	14.92849256	0.371922567	0.002770117	19.909899	17.18468838	2793.950178	0.037	2434.464053	173.8071104
Epiphytes	Vent	Light	Y	T1	5	Fix_A_L_T1_+Epi_c	12.23142211	0.370937886	0.001785436	12.83261902	17.18468838	2687.243602	0.035	1595.407648	113.9031784
Epiphytes	Vent	Light	Y	T1	5	Fix_A_L_T1_+Epi_d	9.712871547	0.370018364	0.000865914	6.223659979	17.18468838	2653.808372	0.023	1162.799823	83.01740048
Epiphytes	Vent	Light	Ctrl	T1	5	Fix_A_L_T1_C1	7.07260288	0.369054385	-9.81E-05	-0.704832007	NA	876.0933743	0.022	NA	NA
Epiphytes	Vent	Light	Ctrl	T1	5	Fix_A_L_T1_C2	8.262397404	0.369488789	0.000336339	2.417397842	NA	4299.589763	0.022	NA	NA
Epiphytes	Vent	Light	Ctrl	T1	5	Fix_A_L_T1_C3_	8.650881038	0.369630627	0.000478177	3.436841249	NA	2842.521626	0.022	NA	NA
Epiphytes	Vent	Dark	Y	T1	5	Fix_A_D_T1_+Epi_a	7.737995214	0.369297325	0.000144876	1.041277726	17.85895323	2250.853615	0.024	0	0
Epiphytes	Vent	Dark	Y	T1	5	Fix_A_D_T1_+Epi_c	7.206492801	0.369103269	-4.92E-05	-0.353479974	17.85895323	2717.516039	0.022	0	0
Epiphytes	Vent	Dark	Y	T1	5	Fix_A_D_T1_+Epi_d	8.012875279	0.369397686	0.000245237	1.762610207	17.85895323	2255.673108	0.026	0	0
Epiphytes	Vent	Dark	Ctrl	T1	5	Fix_A_D_T1_C1	8.047362077	0.369410278	0.000257828	1.853109382	NA	3684.050203	0.03	NA	NA
Epiphytes	Vent	Dark	Ctrl	T1	5	Fix_A_D_T1_C2	6.771350558	0.368944394	-0.000208056	-1.495375343	NA	3760.333733	0.036	NA	NA
Epiphytes	Vent	Dark	Ctrl	T1	5	Fix_A_D_T1_C3	7.580775989	0.369239923	8.75E-05	0.628706835	NA	4012.528739	0.029	NA	NA
Epiphytes	Vent	Light	Y	T2	18	Fix_A_L_T2_+Epi_a	13.80057141	0.371510773	0.002358324	16.95018103	11.2179497	1653.838979	0.028	689.8466842	49.25119294
Epiphytes	Vent	Light	Y	T2	18	Fix_A_L_T2_+Epi_b	20.28814666	0.373879279	0.00472683	33.97354826	11.2179497	3494.885121	0.028	2921.85614	208.604178
Epiphytes	Vent	Light	Y	T2	18	Fix_A_L_T2_+Epi_c	19.08110874	0.373438618	0.004286169	30.80634767	11.2179497	2719.323349	0.033	1749.162557	124.8804184
