Run	ID	28N2	29N2	30N2	Total_Signal	N2_in_Exet_(µM)	29N2/tot	30N2/tot	Excess_29N2/tot	Excess_30N2/tot	Conc_29N2(µM)	Conc_30N2(µM)
1	Dummy	1.92E-07	1.39E-09	1.25E-10	1.93E-07	428.2164988	0.007221003	0.000648629	NA	NA	NA	NA
2	air_STD_0	1.94E-07	1.41E-09	1.24E-10	1.96E-07	436.4669059	0.007219686	0.000634293	NA	NA	NA	NA
3	air_STD_30	2.43E-07	1.77E-09	1.58E-10	2.45E-07	574.5359536	0.007214842	0.000643872	NA	NA	NA	NA
4	air_STD_60	2.91E-07	2.11E-09	1.91E-10	2.93E-07	709.8574725	0.007213437	0.000652525	NA	NA	NA	NA
5	air_STD_100	3.58E-07	2.61E-09	2.40E-10	3.61E-07	902.9895803	0.007210595	0.000664742	NA	NA	NA	NA
6	air_STD_200	5.14E-07	3.74E-09	3.57E-10	5.18E-07	1345.586666	0.007207987	0.000689168	NA	NA	NA	NA
7	air_STD_400	8.27E-07	6.01E-09	5.98E-10	8.34E-07	2236.573607	0.007208682	0.000717489	NA	NA	NA	NA
8	air_STD_600	1.19E-06	8.66E-09	9.03E-10	1.20E-06	3268.803919	0.007213107	0.000752646	NA	NA	NA	NA
9	air_STD_800	1.45E-06	1.06E-08	1.15E-09	1.47E-06	4018.382768	0.007218641	0.000785409	NA	NA	NA	NA
10	air_STD_1000	1.79E-06	1.30E-08	1.47E-09	1.81E-06	4977.745746	0.007222509	0.000815401	NA	NA	NA	NA
11	N2REFGAS	1.99E-07	1.45E-09	1.51E-10	2.00E-07	449.2725279	0.007219157	0.000751306	NA	NA	NA	NA
12	Fix_A_start_1a	1.39E-07	1.05E-09	3.58E-08	1.75E-07	378.5881593	0.005977117	0.203842837	-0.00123896	0.203089231	-0.469055399	76.88717833
13	Fix_A_start_1b	1.41E-07	1.06E-09	2.84E-08	1.71E-07	365.5642235	0.00620532	0.166500498	-0.001010757	0.165746893	-0.369496531	60.59113417
14	Fix_A_start_1c	1.36E-07	1.03E-09	3.46E-08	1.71E-07	367.4916936	0.005988232	0.20176579	-0.001227844	0.201012184	-0.451222634	73.87030806
15	Fix_A_start_2a	1.37E-07	1.03E-09	3.29E-08	1.71E-07	365.8748117	0.0060399	0.192721896	-0.001176177	0.191968291	-0.430333473	70.23636236
16	Fix_A_start_2b	1.37E-07	1.04E-09	3.57E-08	1.74E-07	373.930619	0.00596065	0.205377257	-0.001255426	0.204623652	-0.469442359	76.51504889
17	N2REFGAS	1.97E-07	1.43E-09	1.50E-10	1.99E-07	444.670609	0.007212996	0.000755905	NA	NA	NA	NA
18	Fix_A_start_2c	1.36E-07	1.03E-09	3.74E-08	1.75E-07	377.1158448	0.00590574	0.213793632	-0.001307169	0.213037115	-0.492954	80.33967167
19	Fix_A_start_3a	1.50E-07	1.12E-09	3.05E-08	1.82E-07	396.2976649	0.00618904	0.167953163	-0.001023869	0.167196646	-0.405756816	66.25964051
20	Fix_A_start_3b	1.50E-07	1.13E-09	2.98E-08	1.81E-07	395.1351459	0.006209418	0.164542569	-0.001003491	0.163786053	-0.396514426	64.71762587
21	Fix_A_start_3c	1.54E-07	1.15E-09	3.41E-08	1.89E-07	416.3881007	0.006109228	0.180388887	-0.001103681	0.179632371	-0.45955955	74.7967816
22	Fix_C_start_1a	1.66E-07	1.25E-09	3.40E-08	2.02E-07	452.1780439	0.006184527	0.168708648	-0.001028381	0.167952132	-0.465011373	75.94426634
23	N2REFGAS	2.07E-07	1.51E-09	1.58E-10	2.09E-07	472.8666051	0.007212821	0.000757128	NA	NA	NA	NA
24	Fix_C_start_1b	1.59E-07	1.19E-09	2.98E-08	1.90E-07	418.5910378	0.006252037	0.157385943	-0.000959808	0.156627763	-0.401766992	65.56297785
25	Fix_C_start_1c	1.55E-07	1.16E-09	3.07E-08	1.87E-07	410.6790672	0.006210159	0.16450293	-0.001001686	0.163744749	-0.411371395	67.24654097
26	Fix_C_start_2a	1.54E-07	1.15E-09	3.18E-08	1.87E-07	411.0879218	0.006174872	0.170044423	-0.001036973	0.169286242	-0.426287249	69.5915295
27	Fix_C_start_2b	1.55E-07	1.16E-09	3.01E-08	1.86E-07	407.7020418	0.006224542	0.161989735	-0.000987303	0.161231555	-0.40252537	65.73443398
28	Fix_C_start_2c	1.51E-07	1.13E-09	3.09E-08	1.83E-07	399.2259407	0.006181196	0.168912961	-0.001030649	0.16815478	-0.41146193	67.1317503
29	N2REFGAS	2.03E-07	1.48E-09	1.56E-10	2.05E-07	461.8276275	0.007210869	0.000759233	NA	NA	NA	NA
30	Fix_C_start_3a	1.53E-07	1.15E-09	2.89E-08	1.83E-07	400.6835184	0.006249165	0.157820504	-0.000962209	0.15705826	-0.38554144	62.93065615
31	Fix_C_start_3b	1.55E-07	1.15E-09	2.85E-08	1.84E-07	403.2014078	0.00627098	0.154529786	-0.000940395	0.153767543	-0.379168501	61.99928962
32	Fix_C_start_3c	1.50E-07	1.13E-09	2.92E-08	1.81E-07	393.4158649	0.006231414	0.161593995	-0.000979961	0.160831751	-0.385532073	63.2737625
33	Acid_unlabelled_Start_1	1.52E-07	1.11E-09	1.22E-10	1.54E-07	317.1077303	0.007226623	0.000794805	1.52E-05	3.26E-05	0.004835516	0.010325556
34	Acid_unlabelled_Start_2	1.61E-07	1.17E-09	1.25E-10	1.62E-07	341.6876127	0.007220537	0.000770197	9.16E-06	7.95E-06	0.003130776	0.00271766
35	N2REFGAS	1.96E-07	1.43E-09	1.51E-10	1.98E-07	441.9359527	0.00721188	0.000765254	NA	NA	NA	NA
36	Control_unlabelled_Start_1	1.60E-07	1.16E-09	1.24E-10	1.61E-07	337.506863	0.007219872	0.000768548	8.27E-06	-1.77E-06	0.002792669	-0.000595815
37	Control_unlabelled_Start_2	1.56E-07	1.13E-09	1.19E-10	1.57E-07	326.1008355	0.007212882	0.000761696	1.29E-06	-8.62E-06	0.000419042	-0.00281031
38	Fix_A_+Epi_L_T1_	1.44E-07	1.08E-09	3.04E-08	1.76E-07	379.8523525	0.006157522	0.172617198	-0.001054075	0.171846884	-0.400392882	65.27644309
39	Fix_A_-Epi_L_T1_	1.43E-07	1.07E-09	3.11E-08	1.75E-07	376.4695643	0.006121312	0.178048026	-0.001090285	0.177277712	-0.410459289	66.739663
40	Fix_A_+Epi_D_T1_	1.41E-07	1.06E-09	3.11E-08	1.73E-07	372.4694671	0.006112561	0.179359846	-0.001099036	0.178589532	-0.409357341	66.51914792
41	N2REFGAS	1.92E-07	1.39E-09	1.50E-10	1.93E-07	428.3299469	0.007211315	0.000775373	NA	NA	NA	NA
42	Fix_A_-Epi_D_T1_	1.42E-07	1.06E-09	3.02E-08	1.73E-07	371.5769903	0.006142073	0.174638138	-0.001069194	0.173861964	-0.397287904	64.60310532
43	Fix_C_+Epi_L_T1_	1.47E-07	1.10E-09	3.11E-08	1.80E-07	390.5102727	0.006150027	0.173372522	-0.00106124	0.172596347	-0.414425032	67.4006466
44	Fix_C_-Epi_L_T1_	1.54E-07	1.15E-09	2.98E-08	1.85E-07	405.2714818	0.006230844	0.161287531	-0.000980423	0.160511357	-0.39733745	65.05067538
45	Fix_C_+Epi_D_T1_	1.52E-07	1.14E-09	2.92E-08	1.83E-07	398.8614744	0.00623459	0.160105309	-0.000976677	0.159329135	-0.389558849	63.55025371
46	Fix_C_-Epi_D_T1_	1.53E-07	1.14E-09	3.10E-08	1.85E-07	405.2500226	0.006186601	0.167743807	-0.001024665	0.166967633	-0.415245633	67.66363697
47	N2REFGAS	1.88E-07	1.37E-09	1.47E-10	1.90E-07	418.5393225	0.007211219	0.000776975	NA	NA	NA	NA
48	Fix_A_+Epi_L_T2_	1.56E-07	1.16E-09	2.00E-08	1.77E-07	383.4736978	0.006527406	0.112955441	-0.00068418	0.112179497	-0.262364932	43.01788652
49	Fix_A_-Epi_L_T2_	1.55E-07	1.15E-09	2.80E-08	1.84E-07	402.4832061	0.006268394	0.152522302	-0.000943192	0.151746359	-0.379618853	61.07536104
50	Fix_A_+Epi_D_T2_	1.56E-07	1.17E-09	2.73E-08	1.85E-07	405.2851495	0.006308969	0.147835985	-0.000902618	0.147060041	-0.365817503	59.60125073
51	Fix_A_-Epi_D_T2_	1.54E-07	1.15E-09	3.13E-08	1.86E-07	408.3429822	0.006181095	0.168331695	-0.001030491	0.167555751	-0.420793773	68.42021509
52	Fix_C_+Epi_L_T2	1.60E-07	1.19E-09	2.50E-08	1.87E-07	410.1963449	0.006398734	0.133701636	-0.000812852	0.132925693	-0.333428882	54.52563335
53	N2REFGAS	1.94E-07	1.41E-09	1.51E-10	1.95E-07	435.063933	0.007211953	0.000774912	NA	NA	NA	NA
54	Fix_C_-Epi_L_T2	1.61E-07	1.20E-09	2.67E-08	1.89E-07	417.5519795	0.006352553	0.140894511	-0.000858925	0.140121111	-0.358645904	58.50784732
55	Fix_C_+Epi_D_T2	1.64E-07	1.22E-09	2.93E-08	1.94E-07	431.3691243	0.006290337	0.150856072	-0.000921141	0.150082671	-0.397351875	64.7410305
56	Fix_C_-Epi_D_T2	1.63E-07	1.22E-09	2.95E-08	1.94E-07	429.7760206	0.006282021	0.152261326	-0.000929457	0.151487926	-0.39945813	65.10587806
57	Fix_A_L_T2	1.65E-07	1.20E-09	2.34E-10	1.67E-07	353.8648307	0.00722117	0.001405882	9.69E-06	0.000632482	0.003429721	0.223813023
58	Fix_A_D_T2	1.68E-07	1.22E-09	1.84E-10	1.69E-07	361.1774145	0.007223582	0.001088219	1.21E-05	0.000314818	0.004371759	0.113705277
59	N2REFGAS	2.00E-07	1.45E-09	1.56E-10	2.02E-07	452.1537326	0.007211003	0.000771889	NA	NA	NA	NA
60	Fix_C_L_T2	1.68E-07	1.22E-09	2.03E-10	1.70E-07	362.4535988	0.007206589	0.00119789	-4.10E-06	0.000426155	-0.00148726	0.154461358
