Label	Sample	Weight	Area_N_Flash_TCD 	Area_C_Flash_TCD 	Corrected_Area_C	"ľg_N/cup 
"	mg_N/kg_dry_sample	"ľg_C/cup 
"	mg_C/kg_dry_sample	"
C/N"	ľgN
blank	blank	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
Fix_A_+Epi_T0_a	Leaf	2.1227	20420	2513178	2513178	15.2	7180	710.2	334567	54.4	1524.034346
Fix_A_+Epi_T0_b	Leaf	1.926	33330	2402840	2402840	24.9	12916	679	352547	31.8	2487.564386
Fix_A_+Epi_T0_c	Leaf	1.7163	36929	2106840	2106840	27.6	16059	595.4	346886	25.2	2756.173574
Fix_A_+Epi_T0_d	Leaf	1.3622	28757	1736416	1736416	21.5	15756	490.7	360215	26.7	2146.261298
Fix_A_+Epi_T0_e	Leaf	2.3477	28753	2668043	2668043	21.5	9141	753.9	321144	41	2145.96276
Fix_A_+Epi_T0_f	Leaf	2.3486	27310	2765447	2765447	20.4	8679	781.5	332740	44.7	2038.265328
Fix_A_+Epi_T0_g	Leaf	1.8764	35995	2299624	2299624	26.9	14317	649.8	346322	28.2	2686.465049
Fix_C_+Epi_T0_a	Leaf	2.1135	45320	2616583	2616583	33.8	16004	739.4	349850	25.5	3382.430783
Fix_C_+Epi_T0_b	Leaf	2.6223	25420	3157013	3157013	19	7235	892.1	340207	54.9	1897.206322
Fix_C_+Epi_T0_c	Leaf	1.887	30798	2332611	2332611	23	12181	659.2	349317	33.5	2298.590098
Fix_C_+Epi_T0_d	Leaf	1.8623	25419	2238220	2238220	19	10187	632.5	339627	38.9	1897.131687
Fix_C_+Epi_T0_e	Leaf	1.7677	41280	2194643	2194643	30.8	17429	620.2	350836	23.5	3080.907827
Fix_C_+Epi_T0_f	Leaf	2.341	45924	2711616	2711616	34.3	14641	766.3	327322	26.1	3427.509957
Fix_C_+Epi_T0_g	Leaf	1.8994	36639	2245564	2245564	27.3	14397	634.6	334086	27.1	2734.529599
Fix_A_L_T1_+Epi_a	Leaf	2.4948	38021	3189709	3189709	28.4	11374	901.4	361297	37.1	2837.674333
Fix_A_L_T1_+Epi_b	Leaf	2.606	33353	3347920	3347920	24.9	9552	946.1	363036	44.3	2489.280977
Fix_A_L_T1_+Epi_c	Leaf	2.0632	32778	2769230	2769230	24.5	11857	782.5	379286	37.3	2446.3662
Fix_A_L_T1_+Epi_d	Leaf	2.2355	28301	3069853	3069853	21.1	9449	867.5	388054	47.9	2112.228014
Fix_A_L_T1_-Epi_a	Leaf	1.9625	28112	2629915	2629915	21	10691	743.2	378688	41.3	2098.122113
Fix_A_L_T1_-Epi_b	Leaf	2.1269	25895	2766554	2766554	19.3	9087	781.8	367571	47.2	1932.657659
Fix_A_L_T1_-Epi_c	Leaf	2.6059	31677	3322577	3322577	23.6	9072	938.9	360302	46.3	2364.193731
Fix_A_L_T1_C1	Leaf	2.4703	58584	3376151	3376151	43.7	17700	954	386208	25.5	4372.381398
Fix_A_L_T1_C2	Leaf	2.0572	19631	2588282	2588282	14.7	7122	731.4	355536	58.2	1465.147809
